Target type`Target member`Assembly`.NET Framework`.NET Standard`Recommended changes
T:System.Web.Routing.RouteData`T:System.Web.Routing.RouteData`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.Routing.RouteData`T:System.Web.Routing.RouteData`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.Routing.RouteData`M:System.Web.Routing.RouteData.#ctor`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.Routing.RouteData`M:System.Web.Routing.RouteData.get_Values`Voat.UI`Supported: 3.5+`Not supported`
T:System.Security.Principal.GenericIdentity`T:System.Security.Principal.GenericIdentity`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Security.Principal.GenericIdentity`M:System.Security.Principal.GenericIdentity.#ctor(System.String)`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Security.Principal.GenericIdentity`M:System.Security.Principal.GenericIdentity.#ctor(System.String,System.String)`Voat.Tests`Supported: 1.1+`Supported: 2.0+`
T:System.Web.HttpContext`T:System.Web.HttpContext`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`T:System.Web.HttpContext`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`T:System.Web.HttpContext`Voat.Data`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Cache`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Current`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Current`Voat.Data`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Current`Voat.UI`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Items`Voat.Business`Supported: 1.1+`Not supported`
T:System.Web.HttpContext`M:System.Web.HttpContext.get_Items`Voat.UI`Supported: 1.1+`Not supported`
